"date","EBP"
1973-01-01,-0.0835737569229166
1973-04-01,-0.0856193918489455
1973-07-01,-0.30348593796362
1973-10-01,0.0556678779890318
1974-01-01,0.00872349071089019
1974-04-01,0.315441396836936
1974-07-01,1.06795088099076
1974-10-01,1.14125593463922
1975-01-01,0.467990507734328
1975-04-01,0.283239265163579
1975-07-01,0.270574580291416
1975-10-01,0.0849417602616516
1976-01-01,-0.125220957162073
1976-04-01,-0.0832921075283562
1976-07-01,-0.158107274635255
1976-10-01,-0.18873127808862
1977-01-01,-0.2417229209246
1977-04-01,-0.252768408343587
1977-07-01,-0.168932711386744
1977-10-01,-0.209450616917407
1978-01-01,-0.339414044074136
1978-04-01,-0.33230592426534
1978-07-01,-0.364413274913592
1978-10-01,-0.37064924971469
1979-01-01,-0.245792067644534
1979-04-01,-0.199063772726115
1979-07-01,-0.215064362195259
1979-10-01,-0.133445942645506
1980-01-01,0.0126181655908542
1980-04-01,-0.0556232234090997
1980-07-01,0.122958822335397
1980-10-01,0.142014367766997
1981-01-01,0.23526405036483
1981-04-01,0.487877271733618
1981-07-01,0.412239280761578
1981-10-01,0.462749621976922
1982-01-01,0.760094603737602
1982-04-01,0.805955811604496
1982-07-01,0.400683781271348
1982-10-01,0.481042731277126
1983-01-01,0.234817270171229
1983-04-01,0.00825247643954603
1983-07-01,-0.120870606714563
1983-10-01,-0.00111718448992001
1984-01-01,-0.0307166070103812
1984-04-01,-0.127300090998018
1984-07-01,-0.0295147120078531
1984-10-01,-0.139510051594911
1985-01-01,-0.0964220672354276
1985-04-01,-0.114064185059154
1985-07-01,0.0291895454402459
1985-10-01,0.0930130219039372
1986-01-01,0.17906212265104
1986-04-01,0.197131999835022
1986-07-01,0.548309817550707
1986-10-01,0.562894742140027
1987-01-01,0.482971684335431
1987-04-01,0.0139269963915563
1987-07-01,0.222447576896834
1987-10-01,-0.169023830948316
1988-01-01,-0.038397512285746
1988-04-01,0.0564420556853558
1988-07-01,0.040822809754483
1988-10-01,0.306608011860101
1989-01-01,0.363946951780532
1989-04-01,0.534444716845446
1989-07-01,0.698923783356724
1989-10-01,0.56380862293443
1990-01-01,0.365047511607655
1990-04-01,0.145715657820712
1990-07-01,-0.0476766961014982
1990-10-01,0.2666694851338
1991-01-01,0.304547273505254
1991-04-01,0.161829953417472
1991-07-01,0.168365587815375
1991-10-01,0.168465008704822
1992-01-01,0.0677556584167546
1992-04-01,0.0159755180407748
1992-07-01,0.0663355823030336
1992-10-01,0.0959063090984632
1993-01-01,0.055414621876642
1993-04-01,0.024138731123889
1993-07-01,-0.00784740837513846
1993-10-01,-0.0983599993571536
1994-01-01,-0.321913720847102
1994-04-01,-0.286715741441516
1994-07-01,-0.313605206129634
1994-10-01,-0.23638767449629
1995-01-01,-0.245642771866008
1995-04-01,-0.199360866391245
1995-07-01,-0.190383525458342
1995-10-01,-0.0386593524353462
1996-01-01,-0.21657522936394
1996-04-01,-0.260544382767237
1996-07-01,-0.334082481734698
1996-10-01,-0.304940361280443
1997-01-01,-0.406802551390712
1997-04-01,-0.447487853330058
1997-07-01,-0.50874958173267
1997-10-01,-0.367881727712786
1998-01-01,-0.331210084854421
1998-04-01,-0.347420552431842
1998-07-01,-0.00566725838719425
1998-10-01,0.175742639753823
1999-01-01,-0.0748369696351627
1999-04-01,-0.1607469570231
1999-07-01,0.0146943717689444
1999-10-01,0.0374475399683359
2000-01-01,0.205423415159677
2000-04-01,0.706148026421044
2000-07-01,1.01640411530454
2000-10-01,1.58523327842018
2001-01-01,1.15524030095136
2001-04-01,0.91192513428121
2001-07-01,0.934704721041187
2001-10-01,0.458204222016438
2002-01-01,0.549337275210558
2002-04-01,0.640331688846126
2002-07-01,1.59756154516028
2002-10-01,1.15610201801597
2003-01-01,0.56983190320016
2003-04-01,-0.255509920088796
2003-07-01,-0.602416940715906
2003-10-01,-0.527288005496224
2004-01-01,-0.524635065238801
2004-04-01,-0.512399038989423
2004-07-01,-0.433944058441502
2004-10-01,-0.640843515514337
2005-01-01,-0.759600741038004
2005-04-01,-0.383202690604296
2005-07-01,-0.524800660604083
2005-10-01,-0.316629630174896
2006-01-01,-0.357575981026995
2006-04-01,-0.376354290590643
2006-07-01,-0.285684941349519
2006-10-01,-0.388947841076204
2007-01-01,-0.463321457832901
2007-04-01,-0.423093286543192
2007-07-01,0.098160238309671
2007-10-01,0.293337303200216
2008-01-01,0.949313771940113
2008-04-01,0.729280179522922
2008-07-01,1.36351492800115
2008-10-01,3.30199746473969
2009-01-01,2.92633589535402
2009-04-01,1.52396195678956
2009-07-01,0.152759641653948
2009-10-01,-0.204667910719647
2010-01-01,-0.1107776353757
2010-04-01,-0.108363207166671
2010-07-01,-0.0166529028217243
