"date","Unemployment_Rate"
1983-01-01,10.3666666666667
1983-04-01,10.1333333333333
1983-07-01,9.36666666666667
1983-10-01,8.53333333333333
1984-01-01,7.86666666666667
1984-04-01,7.43333333333333
1984-07-01,7.43333333333333
1984-10-01,7.3
1985-01-01,7.23333333333333
1985-04-01,7.3
1985-07-01,7.2
1985-10-01,7.03333333333333
1986-01-01,7.03333333333333
1986-04-01,7.16666666666667
1986-07-01,6.96666666666667
1986-10-01,6.83333333333333
1987-01-01,6.6
1987-04-01,6.26666666666667
1987-07-01,6
1987-10-01,5.83333333333333
1988-01-01,5.7
1988-04-01,5.46666666666667
1988-07-01,5.46666666666667
1988-10-01,5.33333333333333
1989-01-01,5.2
1989-04-01,5.23333333333333
1989-07-01,5.23333333333333
1989-10-01,5.36666666666667
1990-01-01,5.3
1990-04-01,5.33333333333333
1990-07-01,5.7
1990-10-01,6.13333333333333
1991-01-01,6.6
1991-04-01,6.83333333333333
1991-07-01,6.86666666666667
1991-10-01,7.1
1992-01-01,7.36666666666667
1992-04-01,7.6
1992-07-01,7.63333333333333
1992-10-01,7.36666666666667
1993-01-01,7.13333333333333
1993-04-01,7.06666666666667
1993-07-01,6.8
1993-10-01,6.63333333333333
1994-01-01,6.56666666666667
1994-04-01,6.2
1994-07-01,6
1994-10-01,5.63333333333333
1995-01-01,5.46666666666667
1995-04-01,5.66666666666667
1995-07-01,5.66666666666667
1995-10-01,5.56666666666667
1996-01-01,5.53333333333333
1996-04-01,5.5
1996-07-01,5.26666666666667
1996-10-01,5.33333333333333
1997-01-01,5.23333333333333
1997-04-01,5
1997-07-01,4.86666666666667
1997-10-01,4.66666666666667
1998-01-01,4.63333333333333
1998-04-01,4.4
1998-07-01,4.53333333333333
1998-10-01,4.43333333333333
1999-01-01,4.3
1999-04-01,4.26666666666667
1999-07-01,4.23333333333333
1999-10-01,4.06666666666667
2000-01-01,4.03333333333333
2000-04-01,3.93333333333333
2000-07-01,4
2000-10-01,3.9
2001-01-01,4.23333333333333
2001-04-01,4.4
2001-07-01,4.83333333333333
2001-10-01,5.5
2002-01-01,5.7
2002-04-01,5.83333333333333
2002-07-01,5.73333333333333
2002-10-01,5.86666666666667
2003-01-01,5.86666666666667
2003-04-01,6.13333333333333
2003-07-01,6.13333333333333
2003-10-01,5.83333333333333
2004-01-01,5.7
2004-04-01,5.6
2004-07-01,5.43333333333333
2004-10-01,5.43333333333333
2005-01-01,5.3
2005-04-01,5.1
2005-07-01,4.96666666666667
2005-10-01,4.96666666666667
2006-01-01,4.73333333333333
2006-04-01,4.63333333333333
2006-07-01,4.63333333333333
2006-10-01,4.43333333333333
2007-01-01,4.5
2007-04-01,4.5
2007-07-01,4.66666666666667
2007-10-01,4.8
2008-01-01,5
2008-04-01,5.33333333333333
2008-07-01,6
2008-10-01,6.86666666666667
2009-01-01,8.26666666666667
2009-04-01,9.3
2009-07-01,9.63333333333333
2009-10-01,9.93333333333333
2010-01-01,9.83333333333333
2010-04-01,9.63333333333333
2010-07-01,9.46666666666667
2010-10-01,9.5
2011-01-01,9.03333333333333
2011-04-01,9.06666666666667
2011-07-01,9
2011-10-01,8.63333333333333
2012-01-01,8.26666666666667
2012-04-01,8.2
2012-07-01,8.03333333333333
2012-10-01,7.8
2013-01-01,7.73333333333333
2013-04-01,7.53333333333333
2013-07-01,7.23333333333333
2013-10-01,6.93333333333333
2014-01-01,6.66666666666667
2014-04-01,6.2
2014-07-01,6.06666666666667
2014-10-01,5.7
2015-01-01,5.53333333333333
2015-04-01,5.43333333333333
2015-07-01,5.1
2015-10-01,5.03333333333333
2016-01-01,4.9
2016-04-01,4.93333333333333
2016-07-01,4.9
2016-10-01,4.76666666666667
2017-01-01,4.56666666666667
2017-04-01,4.36666666666667
2017-07-01,4.33333333333333
2017-10-01,4.16666666666667
2018-01-01,4.03333333333333
2018-04-01,3.93333333333333
2018-07-01,3.76666666666667
2018-10-01,3.83333333333333
2019-01-01,3.86666666666667
2019-04-01,3.63333333333333
2019-07-01,3.6
2019-10-01,3.6
