"date","EBP","Treasury_1Y","Treasury_2Y","Treasury_5Y","Treasury_10Y","Unemployment_Rate","dlog_GDP","dlog_CPI","dlog_Government_Spending","dlog_Government_Transfers","dlog_Tax_Revenues"
1983-04-01,0.00825247643954603,9.19095238095238,9.75603174603175,10.237619047619,10.55,10.1333333333333,2.25001645449137,1.14982666873722,0.820179108238239,1.47332315129844,5.83989038423409
1983-07-01,-0.120870606714563,10.3028125,10.85796875,11.43140625,11.63640625,9.36666666666667,1.97923783068283,0.970394096323002,1.71078350437464,0.182648452603473,-2.79937376947874
1983-10-01,-0.00111718448992001,9.95333333333333,10.6935,11.4128333333333,11.6891666666667,8.53333333333333,2.06471982740037,0.994043970525116,-1.61340029631978,-0.426699824499099,2.4141342485942
1984-01-01,-0.0307166070103812,10.1888709677419,10.9246774193548,11.6522580645161,11.9545161290323,7.86666666666667,1.93592971005696,1.407782293695,1.05432371892817,4.24577969773807,3.67105495434386
1984-04-01,-0.127300090998018,11.5604761904762,12.3666666666667,13.0196825396825,13.2139682539683,7.43333333333333,1.7130055100596,0.938366374204769,2.14896915708316,1.51077829919721,1.53233913713287
1984-07-01,-0.0295147120078531,11.8169841269841,12.5128571428571,12.8353968253968,12.8731746031746,7.43333333333333,0.959393118098717,0.86580627431152,0.806135143094711,-0.75253611289483,0.636489521843853
1984-10-01,-0.139510051594911,10.0470491803279,10.8386885245902,11.5067213114754,11.7606557377049,7.3,0.817422921914179,0.858374369139092,2.07760279452618,0.405915315246208,2.6365351809547
1985-01-01,-0.0964220672354276,9.39833333333333,10.275,11.1978333333333,11.5865,7.23333333333333,0.964314731614735,0.913823910802414,1.08305814236509,4.35959214029804,8.60193780940817
1985-04-01,-0.114064185059154,8.48047619047619,9.4015873015873,10.3255555555556,10.8234920634921,7.3,0.876620007486117,0.905548732891415,2.19496444189922,0.607568839425721,-10.8434437019138
1985-07-01,0.0291895454402459,7.98603174603175,8.89603174603175,9.77142857142857,10.3355555555556,7.2,1.51572603738277,0.619772668722085,2.25393151020485,3.62299694959134,8.9251942175248
1985-10-01,0.0930130219039372,7.85645161290323,8.53451612903226,9.23677419354839,9.76612903225806,7.03333333333333,0.740699182869164,1.01430099650548,0.411244302604263,-2.41882257415202,0.456913484665122
1986-01-01,0.17906212265104,7.45883333333333,7.77766666666667,8.1655,8.567,7.03333333333333,0.929415155361291,0.518530977292375,0.786965542600448,3.73775490926,-0.241282970797574
1986-04-01,0.197131999835022,6.6046875,6.9778125,7.39984375,7.59796875,7.16666666666667,0.449285554507561,-0.487954612584129,2.06298393419653,0.157109223204088,0.34192231555874
1986-07-01,0.548309817550707,5.99515625,6.4496875,6.93015625,7.30546875,6.96666666666667,0.952120945350288,0.609572140495906,2.15491341701828,4.0507973478265,2.13473485035323
1986-10-01,0.562894742140027,5.79790322580645,6.2758064516129,6.75193548387097,7.26403225806452,6.83333333333333,0.534959416711622,0.696444904317062,-0.413912058589894,-1.87679868418593,4.40534043509988
1987-01-01,0.482971684335431,5.92655737704918,6.35114754098361,6.74098360655738,7.19540983606557,6.6,0.739106799354161,1.1997744396643,0.584825886934759,1.62522622446124,-0.528408025903904
1987-04-01,0.0139269963915563,6.76444444444444,7.45,7.94619047619048,8.34269841269841,6.26666666666667,1.07240675207461,1.12660545286429,0.772269911936885,0.301811094290549,12.6821293302529
1987-07-01,0.222447576896834,7.11859375,7.84,8.418125,8.8696875,6,0.86343963330755,1.05572828058769,0.10484318908528,1.44604863310542,-1.9966362285305
1987-10-01,-0.169023830948316,7.25161290322581,7.99,8.63241935483871,9.12903225806452,5.83333333333333,1.70238373325571,0.92915883340936,1.48813069492455,0.296589441337769,2.02065611197533
1988-01-01,-0.038397512285746,6.77161290322581,7.35161290322581,7.90016129032258,8.41096774193548,5.7,0.515551288075322,0.777317862388127,-0.837797220375514,4.58242697560536,-1.21349990253954
1988-04-01,0.0564420556853558,7.30587301587302,7.87730158730159,8.42571428571429,8.91285714285714,5.46666666666667,1.30547376755246,1.14058835604061,0.298059937902551,0.985229644301189,0.708051018069344
1988-07-01,0.040822809754483,8.015,8.46515625,8.76859375,9.10359375,5.46666666666667,0.584259520477559,1.21179445376303,0.0115186116807386,-0.093414299179706,1.86694067514965
1988-10-01,0.306608011860101,8.53344262295082,8.70918032786885,8.80213114754098,8.95704918032787,5.33333333333333,1.32365693740351,1.08651298691038,1.92154460908336,0.186741417479563,2.11502005167095
1989-01-01,0.363946951780532,9.30016393442623,9.41836065573771,9.3183606557377,9.2116393442623,5.2,1.01126439262114,1.12964419337507,-0.441211853703027,4.06727296494651,5.75694308117658
1989-04-01,0.534444716845446,8.9134375,8.943125,8.8178125,8.75796875,5.23333333333333,0.760202780034724,1.60351309130489,1.52578116203523,1.73145280008846,-0.611014548782407
1989-07-01,0.698923783356724,8.10380952380952,8.08587301587302,8.03301587301587,8.10746031746032,5.23333333333333,0.738005651708917,0.778841052591961,0.895048927877706,-0.220312933351341,1.14634800078308
1989-10-01,0.56380862293443,7.82951612903226,7.85177419354839,7.84274193548387,7.90709677419355,5.36666666666667,0.196787302096091,1.01145392498863,0.500044336167793,0.308302380295267,1.47914649375949
1990-01-01,0.365047511607655,8.13145161290323,8.36483870967742,8.38370967741935,8.42387096774194,5.3,1.08695324620918,1.70675010805077,1.5867782116822,5.68407634725903,-0.524982151355857
1990-04-01,0.145715657820712,8.27095238095238,8.57111111111111,8.64428571428572,8.67412698412698,5.33333333333333,0.362312883683913,0.984463909406497,0.157790135637015,1.1976191046716,2.14325456645375
1990-07-01,-0.0476766961014982,7.82825396825397,8.09873015873016,8.42460317460317,8.70126984126984,5.7,0.0665595235616934,1.71250191425916,0.159271830577623,0,1.24842126580855
