horizon,real_GDP_median,real_GDP_lo68,real_GDP_hi68,real_GDP_lo90,real_GDP_hi90,GDP_deflator_median,GDP_deflator_lo68,GDP_deflator_hi68,GDP_deflator_lo90,GDP_deflator_hi90,EBP_median,EBP_lo68,EBP_hi68,EBP_lo90,EBP_hi90,y1_yield_median,y1_yield_lo68,y1_yield_hi68,y1_yield_lo90,y1_yield_hi90
0,0.2576511655769748,0.1932866261673373,0.29727935184031645,0.16166174030640476,0.3466062828544456,-0.02500473311366038,-0.046445053200181566,-0.007937550250902361,-0.0625459810215296,0.004061607039216811,-0.1343659776729823,-0.1529028791891462,-0.08609702457119711,-0.1865829584122586,-0.0654070925891784,0.25,0.25,0.25,0.25,0.25
1,0.35048459129294873,0.2429020936620533,0.4044393885418813,0.19682901301316086,0.46390319844456757,-0.0024540229092305504,-0.030192581873528856,0.022068474356832134,-0.05363754843236809,0.03830294843696075,-0.15976885861345,-0.18899266231594622,-0.09331391961726568,-0.23303877256951475,-0.07019002212932304,0.3790347786839256,0.33439916054131275,0.39321050187427503,0.3197546345169541,0.41436732152962513
2,0.454109665519326,0.3094138914344259,0.5258735252697401,0.24196950841425197,0.6176805147260599,0.013512753782486639,-0.01917366720421404,0.04027858170556945,-0.04911567376057187,0.06477631686512399,-0.09715896527377615,-0.12614883697989143,-0.030493179253164814,-0.17463745578018022,-0.010561059065835592,0.36326503749235006,0.2916349790257234,0.382110787416595,0.2597977318513449,0.42130335914488454
3,0.49741139580182614,0.3216673895668874,0.5641639662326161,0.2516220926113589,0.6847961514526494,0.03518113284245883,-0.008902443248306885,0.06983090623947469,-0.04221831379554023,0.0961762723432927,-0.06950425853863132,-0.09946659113050413,-0.014145252250833736,-0.14148683867265285,0.013152787743526887,0.38653502917387206,0.2920122266400725,0.4078373495357853,0.25817126025786774,0.4407825050105278
4,0.5184365276976783,0.32415328121070125,0.5838015495512153,0.23697803392186573,0.73896495258342,0.054014067555253856,-0.0017383540959177923,0.09069595002613864,-0.03625676626966103,0.12179456642038462,-0.03643506034624564,-0.06755218468862197,0.01863109864866683,-0.1056810553427293,0.04206100109110408,0.4058063997340612,0.29794598216383683,0.42920160324979034,0.24967086348060155,0.4725660673987594
5,0.5200526433594214,0.2967527151674788,0.5825994297636967,0.21824104368880523,0.7612385034691277,0.06286201450620779,-0.00041924019118326603,0.10520593871879506,-0.036514370824504684,0.1391078729736002,-0.0003724715795160151,-0.023027898648596168,0.05013944963190283,-0.051372836688826654,0.06624838887953155,0.37821057636256594,0.25101654510016047,0.40000932228822017,0.207923450391472,0.46175978937596407
6,0.5108561856797826,0.27280283034637026,0.5773588545093697,0.18407362853595077,0.7666776447123061,0.06838550655977954,-0.00305602374907889,0.11791675155267953,-0.039627540417817166,0.15402399305075384,0.023982646152616346,0.006530353166326126,0.065490906005621,-0.010454022521542889,0.08786833478200289,0.33133126217104003,0.19532745852468353,0.35098877960727365,0.15225335807595602,0.4193319939636946
7,0.4905418981214001,0.23247363753382597,0.5558128202944049,0.13628784640035072,0.7690368925382232,0.06941825566603466,-0.004387034827469662,0.12227465516417603,-0.04816855371948982,0.15440253183296088,0.039118114335793375,0.022570200414233438,0.07255453094819882,0.005771745446719412,0.09400316643837879,0.28051470648941323,0.14774339103691841,0.3005275946298976,0.09427870311369092,0.37163143878691596
8,0.4631447036749753,0.18559683497618637,0.5317885024607708,0.09009275993427253,0.7443027072076525,0.06483564863758602,-0.011704047942741904,0.12208502151977116,-0.05888307838774417,0.15873147993366982,0.05315545905148816,0.034673706053313234,0.08198820858606999,0.019289546498730804,0.09961214038693887,0.22134794468624575,0.08827747338826572,0.24822492914748703,0.03828844318335012,0.31302827712837444
9,0.4300612443704933,0.15175000027349794,0.4984203481822475,0.05053647014615274,0.7119519358622727,0.05687660177413612,-0.021853485670713022,0.11920235310686501,-0.07779364877322309,0.16130473034607481,0.06502336348259355,0.04424999247296942,0.0893050977547447,0.028971369208322453,0.10650626120548505,0.15581157612590701,0.0199435501126114,0.1769164150955915,-0.020931898133747174,0.24853824245787062
