dt,mp_median_timed
1990-01-01,0.004980771235955056
1990-04-01,-0.004601735
1990-07-01,-0.0376970610989011
1990-10-01,0.014346476923076924
1991-01-01,-0.13790121247191012
1991-04-01,-0.08224967344444445
1991-07-01,-0.041449879890109884
1991-10-01,-0.05784557483516483
1992-01-01,0.000135018
1992-04-01,-0.14935634744444445
1992-07-01,-0.04857100373626374
1992-10-01,0.004417833956043957
1993-01-01,0.00016717707865168544
1993-04-01,-0.010331202000000001
1993-07-01,-0.013887040109890109
1993-10-01,-0.0027207892307692305
1994-01-01,0.06287404528089886
1994-04-01,0.06777198188888889
1994-07-01,0.006703174835164836
1994-10-01,0.026275801428571426
1995-01-01,0.028762094382022475
1995-04-01,-0.0010670695555555555
1995-07-01,-0.11828076999999998
1995-10-01,0.0024849432967032946
1996-01-01,-0.01493199611111111
1996-04-01,0.00898124
1996-07-01,-0.024489040549450548
1996-10-01,-0.011506127472527472
1997-01-01,0.0157414604494382
1997-04-01,-0.030883578
1997-07-01,-0.004576873846153845
1997-10-01,0.0022715604395604394
1998-01-01,0.013975462921348315
1998-04-01,-0.0010143653333333333
1998-07-01,0.0029131807692307694
1998-10-01,-0.24615678857142856
1999-01-01,-0.0032327985393258425
1999-04-01,0.06493022933333333
1999-07-01,-0.012345700549450549
1999-10-01,0.10551120725274726
2000-01-01,0.010769913777777777
2000-04-01,0.03339753788888889
2000-07-01,0.01394775857142857
2000-10-01,0.058490088241758234
2001-01-01,-0.33590087797752805
2001-04-01,-0.3295578095555556
2001-07-01,0.013827498901098903
2001-10-01,-0.10021554175824175
2002-01-01,0.011151586516853931
2002-04-01,0.0014082604444444445
2002-07-01,-0.005907938901098901
2002-10-01,-0.005806363736263735
2003-01-01,0.012477609101123594
2003-04-01,-0.029703008888888893
2003-07-01,-0.007722041538461538
2003-10-01,-0.022506282857142863
2004-01-01,0.079906947
2004-04-01,-0.011560334666666667
2004-07-01,0.02345679428571429
2004-10-01,-0.014723175054945054
2005-01-01,0.00021933134831460602
2005-04-01,-0.021999870444444444
2005-07-01,-0.010786647692307692
2005-10-01,-0.015378292087912087
2006-01-01,0.021241417640449435
2006-04-01,0.02075226633333333
2006-07-01,-0.0007682297802197808
2006-10-01,-0.007426484065934067
2007-01-01,-0.032104895280898875
2007-04-01,0.016079749777777777
2007-07-01,0.009730751648351642
2007-10-01,0.06253253659340659
2008-01-01,-0.07016344055555555
2008-04-01,-0.03597017244444444
2008-07-01,-0.002228296923076925
2008-10-01,-0.0760019231868132
2009-01-01,-0.015948493595505618
2009-04-01,-0.015519053777777778
2009-07-01,-0.0014078969230769236
2009-10-01,-0.010607692747252748
2010-01-01,0.0010082238202247188
2010-04-01,-0.01084851911111111
2010-07-01,-0.03174636956043956
2010-10-01,0.010204436813186812
2011-01-01,-0.0018338103370786516
2011-04-01,-0.01164270311111111
2011-07-01,0.02844906824175824
2011-10-01,0.019138845054945057
2012-01-01,-0.019538483333333335
2012-04-01,0.0018414517777777778
2012-07-01,0.005578104945054946
2012-10-01,-0.005218538461538461
2013-01-01,0.0012234630337078652
2013-04-01,-0.0044430419999999995
2013-07-01,-0.009086493296703297
2013-10-01,0.0063343290109890114
2014-01-01,0.020383995505617977
2014-04-01,-0.0023681362222222222
2014-07-01,-0.019280716593406595
2014-10-01,0.009185813846153846
2015-01-01,-0.008909477415730336
2015-04-01,-0.009783585999999999
2015-07-01,-0.014942792197802198
2015-10-01,0.040481039340659344
2016-01-01,-0.004565962777777776
2016-04-01,-0.009655385333333334
2016-07-01,-0.0106267510989011
2016-10-01,0.004963135714285715
2017-01-01,-0.020520550561797753
2017-04-01,0.005285039333333333
2017-07-01,-0.002492903076923077
2017-10-01,-0.004232151428571428
2018-01-01,0.003423862696629213
2018-04-01,-0.0040736696666666666
2018-07-01,-0.0024245665934065934
2018-10-01,0.006945061978021978
2019-01-01,-0.04560870393258427
2019-04-01,-0.030351651777777773
2019-07-01,0.0270831245054945
2019-10-01,-0.015417401648351647
2020-01-01,-0.040397704
2020-04-01,-0.0053548442222222225
2020-07-01,-0.00813213
2020-10-01,1.9973296703296867e-05
2021-01-01,0.009363608988764044
2021-04-01,0.0023786062222222225
2021-07-01,-0.008868976703296703
2021-10-01,-0.010169845054945054
2022-01-01,0.02139119146067416
2022-04-01,0.021193690666666667
2022-07-01,0.008638951318681316
2022-10-01,-0.03170259065934066
2023-01-01,-0.004739827865168539
2023-04-01,0.016899694222222223
2023-07-01,0.004002544615384616
2023-10-01,-0.02254001736263736
2024-01-01,0.015314356
2024-04-01,-0.0060909373333333326
2024-07-01,-0.01096258956043956
2024-10-01,0.016738701538461537
2025-01-01,0.015841213033707863
2025-04-01,0.009070288666666666
2025-07-01,-0.004687687582417582
2025-10-01,-0.000761741538461539
